liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Myc	Slc12a8	Rab25	Slc19a1	Olfml2b	Palmd	Cd6
Gadd45b	Bmf	Rnf5	Snrpd1	Slc26a9	Acp1	Cd63
Myo7a	Matr3	Iqgap2	Soat1	Piwil4	Tle6	Cdc25a
Myo9b	Mcl1	Abhd2	Sox9	Tmc4	Actg1	Cdc25c
Naca	Mcm5	Atp8b1	Spint1	Lipo3	Impa2	Cdk1
Ncl	Mcm6	Eif3i	Sptbn2	Batf3	Actn2	Cdc45
Ndrg1	Mcm7	Stx8	Spr	Tbc1d2	Supt16	Cdc7
Nedd9	Mfge8	Eef1b2	Sephs2	Irs2	Ada	Cdh13
Nfyc	Mgmt	Nop58	Esrp1	Kng2	Afg3l1	Cdh3
Nid2	Mki67	Stard10	Vcpkmt	Gnptab	Add2	Cdh5
Nin	Mmp12	Psmg1	Srm	Akr1c19	Adh5	Cdk4
Emc8	Mmp14	Uchl5	Snu13	Sgpp2	Adk	Cdkn1a
Uhrf1	Mmp2	Naa10	Sgms1	AA467197	Parp2	Cdkn2a
Npm1	Mns1	Metap2	Stc2	Ociad2	Gm20379	Cdkn2b
Npm3	Psmd7	Aatf	Aurka	Plpp2	Adsl	Cdr2
Slc11a1	Clec4d	Eif3c	Stxbp2	Acsl4	Adss	Cel
Nup62	Mpeg1	Dnajc7	Suclg2	Grb14	Aebp1	Celsr1
Odc1	Mrc1	Pus1	Eif2b1	Hn1l	Gm4737	Cenpa
Mybbp1a	Mre11a	Noa1	Sdc1	Ankrd22	Ak2	Cfh
Palm	Cited2	Pfkp	Syngr1	Pbk	Ak4	Chek1
Pbx2	Msh2	Mtch2	Syngr2	Tmem38b	Akap1	Chil3
Pcna	Map1b	Ybx3	Mgst2	Pvr	Alpl	Cit
Pdgfb	Mthfd2	Nme4	Paox	Stbd1	Akt1	Cldn1
Peg3	Mybl2	Mpp6	Mars2	Prdx4	Alas2	Cldn5
