liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
23790	232791		66409		14852	18551
237911	232887		66422		14854	18566
23825	233067		66442		14860	18595
23830	233199		664799		14862	18596
238323	233406		66489		14873	18601
23833	233571		66497		14874	18606
23834	233833		665433		14884	18616
23849	233876		66596		14885	18618
238505	234023		66606		14886	18619
23874	234374		66617		14923	18642
239027	234407		66667		14933	18645
23917	234577		66757		14934	18648
23918	234582		667609		14938	18655
239273	234728		66870		14957	18669
239337	234839		66902		14958	18673
23954	234865		66912		14976	18710
23959	234878		66913		15043	18746
23965	235036		66953		15107	18782
23966	237361		66973		15108	18787
23999	237403		66978		15115	18791
240334	237436		67059		15122	18792
240641	237877		67097		15161	18799
240832	238323		67134		15181	18813
24116	23849		67177		15182	18817
241627	23886		67223		15183	18829
241639	23892		67239		15191	18844
242642	23917		67242		15201	18845
242705	23918		67326		15209	18938
243529	239337		67389		15254	18946
243963	23942		67442		15270	18947
244329	23943		67554		15288	18968
245000	23954		67603		15289	18972
245020	240084		67619		15312	18973
245676	24082		67671		15331	18974
245688	24086		67683		15354	19038
246102	24088		67728		15361	19039
260302	24108		67809		15366	19075
260423	241732		67824		15382	19076
263803	242642		67832		15384	19087
26562	242700		67862		15452	19088
26568	242705		67891		15461	19089
268396	243362		67895		15469	19125
268663	243529		67903		15473	19128
268697	243725		67920		15510	19130
26886	243910		67936		15516	19139
268930	244329		67949		15519	19183
26897	245676		67968		15525	19212
269023	245841		68011		15526	192187
26912	245857		68052		15528	192198
26921	246316		68087		15530	19221
269261	246707		68106		15568	19222
26939	26377		68147		15574	19231
269400	26401		68193		15587	19249
269470	26415		68241		15898	19258
269536	26562		68283		15925	19263
269582	266620		68294		15983	19270
269702	268396		68404		16016	19280
270058	268417		68498		16161	19285
270110	268445		68533		16188	192897
27041	268697		68743		16199	19294
27050	26886		68758		16211	19296
27053	268930		68775		16319	19335
271711	26921		68915		16351	19341
27207	269261		68949		16418	19348
27214	269400		68971		16430	19352
27221	269470		69080		16434	19361
272551	26949		69101		16450	19362
27357	269536		69134		16467	19363
27360	269582		69534		16469	19366
27374	269593		69581		16498	19377
27401	269799		69640		16551	19378
276770	269955		69719		16571	19384
276829	270058		69772		16576	19385
276919	270152		69806		16579	195733
27966	270163		69833		16580	19652
27967	27050		69902		16592	19672
28109	27053		69912		16596	19692
29856	271127		70024		16647	19737
29858	27214		70155		16648	19752
29870	27221		70186		16765	19876
29875	272551		70333		16776	19942
30841	27279		70427		16779	20014
30877	27280		70465		16784	20017
30927	27355		70536		16797	20018
30947	27364		70564		16818	20132
30948	27366		70572		16828	20133
30949	27370		70821		16852	20135
30962	27374		70835		16865	20174
319152	27401		71041		16881	20187
319157	276852		71345		16882	20198
319158	276919		71449		16898	20200
319161	27756		71584		16906	20216
319165	279572		71712		16907	20250
319167	27966		71733		16913	20271
